Match No.,Innings,Teams,Player Name,BallCount,position,Short Description,Pick,Throw,Runs,Overcount,Venue / Stadium
2026 IPL - Match 66,2,Chennai Super Kings,Jos Buttler,0.1,wk,caught behind,C,,,1,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Mohammed Siraj ,2.3,wk,caught behind uppeal,,,,3,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Prasidh Krishna,2.4,deep square leg,caught,C,,,3,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Mohammed Siraj ,4.2,pitch,misfield,N,,,5,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Prasidh Krishna,5.1,mid-wiciket,caught,C,,,6,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Arshad Khan ,5.5,short,misfield,N,, +4,6,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Shubman Gill,6.5,mid-off,direct hit,,DH,-1,7,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Shubman Gill,7.5,mid-on,dropped catch,DC,,,8,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Mohammed Siraj ,9.1,fine leg,misfield,N,, +1,10,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Shubman Gill,10.3,mid-wiciket,caught,C,,,11,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Jason Holder,10.5,mid-off,dropped catch,DC,, +1,11,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Jason Holder,12.1,gully,caught,C,,,13,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Jason Holder,12.3,cover point,caught,C,,,13,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Kagiso Rabada,13.3,silly mid off,Ball + catch,C,,,14,"Narendra Modi Stadium , Ahmedabad"
2026 IPL - Match 66,2,Chennai Super Kings,Jos Buttler,13.4,wk,caught behind,C,,,14,"Narendra Modi Stadium , Ahmedabad"
